,Country,Population,Yearly_Change,Net Change,Density_per_Km2,Land_Area_km,Migrants (net),Fert_Rate,Med_Age,Urban_Pop_Pct,World_Share
73,Zimbabwe,14818157,1.48,217456,38,386850,-116858.0,3.6,3.6,38,0.19
74,Guinea,13056478,2.83,361549,53,245720,-4000.0,4.7,4.7,39,0.17
75,Rwanda,12883878,2.58,325268,525,24670,-9000.0,4.1,4.1,18,0.17
76,Benin,12055347,2.73,322049,108,112760,-2000.0,4.9,4.9,48,0.16
77,Burundi,11814346,3.12,360204,463,25680,2001.0,5.5,5.5,14,0.15
78,Tunisia,11793319,1.06,123900,76,155360,-4000.0,2.2,2.2,70,0.15
79,Bolivia,11640159,1.39,159921,11,1083300,-9504.0,2.8,2.8,69,0.15
80,Belgium,11579477,0.44,50295,383,30280,48000.0,1.7,1.7,98,0.15
81,Haiti,11373955,1.24,139451,414,27560,-35000.0,3.0,3.0,57,0.15
82,Cuba,11327988,-0.06,-6867,106,106440,-14400.0,1.6,1.6,78,0.15
83,South Sudan,11166783,1.19,131612,18,610952,-174200.0,4.7,4.7,25,0.14
84,Dominican Republic,10825682,1.01,108952,225,48320,-30000.0,2.4,2.4,85,0.14
85,Czech Republic (Czechia),10705012,0.18,19772,139,77240,22011.0,1.6,1.6,74,0.14
86,Greece,10433037,-0.48,-50401,81,128900,-16000.0,1.3,1.3,85,0.13
87,Jordan,10182442,1.0,101440,115,88780,10220.0,2.8,2.8,91,0.13
88,Portugal,10202571,-0.29,-29478,111,91590,-6000.0,1.3,1.3,66,0.13
89,Azerbaijan,10120555,0.91,91459,123,82658,1200.0,2.1,2.1,56,0.13
90,Sweden,10086531,0.63,62886,25,410340,40000.0,1.9,1.9,88,0.13
91,Honduras,9871892,1.63,158490,89,111890,-6800.0,2.5,2.5,57,0.13
92,United Arab Emirates,9865845,1.23,119873,118,83600,40000.0,1.4,1.4,86,0.13
93,Hungary,9665192,-0.25,-24328,107,90530,6000.0,1.5,1.5,72,0.12
94,Tajikistan,9492342,2.32,216627,68,139960,-20000.0,3.6,3.6,27,0.12
95,Belarus,9449940,-0.03,-3088,47,202910,8730.0,1.7,1.7,79,0.12
96,Austria,8996022,0.57,51296,109,82409,65000.0,1.5,1.5,57,0.12
97,Papua New Guinea,8911530,1.95,170915,20,452860,-800.0,3.6,3.6,13,0.11
98,Serbia,8744288,-0.4,-34864,100,87460,4000.0,1.5,1.5,56,0.11
99,Israel,8627444,1.6,136158,400,21640,10000.0,3.0,3.0,93,0.11
100,Switzerland,8641786,0.74,63257,219,39516,52000.0,1.5,1.5,74,0.11
101,Togo,8237580,2.43,196358,152,54390,-2000.0,4.4,4.4,43,0.11
102,Sierra Leone,7942879,2.1,163768,111,72180,-4200.0,4.3,4.3,43,0.1
104,Laos,7253719,1.48,106105,32,230800,-14704.0,2.7,2.7,36,0.09
105,Paraguay,7114524,1.25,87902,18,397300,-16556.0,2.4,2.4,62,0.09
106,Bulgaria,6958627,-0.74,-51674,64,108560,-4800.0,1.6,1.6,76,0.09
107,Libya,6852010,1.38,93840,4,1759540,-1999.0,2.3,2.3,78,0.09
108,Lebanon,6831445,-0.44,-30268,667,10230,-30012.0,2.1,2.1,78,0.09
109,Nicaragua,6608366,1.21,79052,55,120340,-21272.0,2.4,2.4,57,0.08
110,Kyrgyzstan,6501804,1.69,108345,34,191800,-4000.0,3.0,3.0,36,0.08
